GENERATIONS,NUMBER-INDIVIDUALS,AVERAGE-FITNESS,FITNESS-ERROR,AVERAGE-PRECISION,PRECISION-ERROR,AVERAGE-RECALL,RECALL-ERROR,AVERAGE-ACCURACY,ACCURACY-ERROR
0,30,357.74722,377.6674346253203d0,0.29521823,0.24132792830615846d0,0.25714287,0.34199823170478055d0,0.29661018,0.23586849753573733d0
1,28,506.4806,334.37767840898385d0,0.4038488,0.15974111103970978d0,0.41194582,0.29153023559202307d0,0.40473408,0.14866354490963699d0
2,30,548.07837,326.9515936566063d0,0.46567157,0.15862618547508076d0,0.45211038,0.2881243622021287d0,0.4514638,0.1100799861040345d0
3,30,566.5692,334.8716315476494d0,0.48264927,0.14287634834419904d0,0.501816,0.2858801477551351d0,0.4708417,0.09419805794176807d0
4,30,597.2617,319.7789348349561d0,0.4946296,0.13949792489128898d0,0.51761585,0.27712700782538374d0,0.48076043,0.0846999619009739d0
5,30,600.84753,319.6587041151303d0,0.50884694,0.14840066641864086d0,0.50922954,0.2861599862251124d0,0.48828796,0.08114569964762715d0
